DeployID,Ptt,Instr,Date,Duplicates,Satellite,LocationQuality,Latitude,Longitude,Reason,Possible Timestamp,Possible Type,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31
"99279",99279,Mk10,03:01:16 26-Apr-2014,,A,B,60.63055420,-178.11222839,Likely MiniPAT,03:00:46 26-Apr-2014,Status,2,17,52,48,46,220,231,,,,,,,,,,,,,,,,,,,,,,,,,
"99279",99279,Mk10,05:34:02 26-Apr-2014,,N,B,60.63944626,-178.13638306,CRC 32712.48330,05:49:32 26-Apr-2014,Status,6,1,52,92,96,127,200,52,232,51,16,21,160,83,255,253,56,0,0,,,,,,,,,,,,,
"99279",99279,Mk10,05:43:02 26-Apr-2014,,K,2,60.63694382,-178.12805176,CRC 12186.61351,21:42:32 26-Apr-2014,Status,2,1,53,90,160,47,154,,,,,,,,,,,,,,,,,,,,,,,,,
"99279",99279,Mk10,08:04:40 26-Apr-2014,,L,2,60.58805466,-178.11999512,CRC 27504.60272,08:04:09 26-Apr-2014,Status,2,1,52,129,9,107,112,,,,,,,,,,,,,,,,,,,,,,,,,
"99279",99279,Mk10,09:35:08 26-Apr-2014,,L,2,60.55472183,-178.12693787,Too short,00:00:00 26-Apr-2013,Status,0,5,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"99279",99279,Mk10,10:30:03 26-Apr-2014,,B,B,60.54055405,-178.13694763,CRC 55900.19787,10:36:00 26-Apr-2011,Behavior,189,165,205,52,169,62,8,168,33,114,123,60,192,14,19,28,140,152,1,209,64,200,96,5,163,196,119,48,157,159,243,
"99279",99279,Mk10,11:17:58 26-Apr-2014,,P,A,60.52639008,-178.12306213,CRC 53788.4690,02:36:00 26-Apr-2014,Behavior,189,33,201,52,41,62,8,136,33,114,123,60,192,14,19,28,140,152,1,209,64,200,96,5,163,132,82,0,86,159,64,
"99279",99279,Mk10,10:35:07 27-Apr-2014,,R,B,60.21055603,-178.07444763,CRC 23733.48955,16:42:00 26-Apr-2014,Behavior,181,203,89,53,10,129,207,52,193,96,15,129,246,11,128,161,113,112,21,0,112,141,5,211,210,149,34,6,69,253,139,
"99279",99279,Mk10,19:02:44 27-Apr-2014,,K,Z,59.83805466,-177.91638184,CRC 48124.19485,16:12:00 27-Apr-2014,Behavior,187,191,201,55,3,0,228,8,129,80,20,38,62,3,226,168,16,114,71,16,54,34,224,56,1,80,166,193,225,0,1,
"99279",99279,Mk10,19:14:38 27-Apr-2014,,N,B,59.68277740,-177.29417419,CRC 56877.9514,14:47:00 27-Apr-2014,Behavior,189,226,217,54,235,192,248,40,67,0,195,133,34,8,136,50,10,49,60,65,88,112,130,32,20,107,50,4,201,54,109,
